2.16.82.0,,2.16.83.255,,GTT Communications
2.16.177.0,,2.16.177.255,,Akamai International 
2.18.241.0,,2.18.241.255,,Akamai International 
4.68.7.239,,4.68.7.240,,Level 3 
4.68.15.160,,4.68.15.160,,Level 3   
4.68.72.189,,4.68.72.190,,Level 3   
4.68.127.217,,4.68.127.218,,Level 3 
4.68.146.233,,4.68.146.233,,Level 3 
4.68.146.237,,4.68.146.238,,Level 3  
4.68.146.241,,4.68.146.241,,Level 3   
4.68.187.3,,4.68.187.4,,Level 3   
4.69.136.93,,4.69.136.94,,Level 3   
4.69.141.85,,4.69.141.86,,Level 3   
4.69.148.57,,4.69.148.58,,Level 3   
4.69.153.230,,4.69.153.230,,Level 3   
4.69.153.237,,4.69.153.238,,Level 3   
4.69.153.241,,4.69.153.241,,Level 3   
4.69.176.2,,4.69.176.2,,Level 3   
4.69.187.3,,4.69.187.5,,Level 3   
4.69.195.161,,4.69.195.162,,Level 3   
4.69.195.192,,4.69.195.192,,Level 3   
4.69.195.194,,4.69.195.194,,Level 3   
4.69.199.161,,4.69.199.162,,Level 3   
4.69.199.193,,4.69.199.194,,Level 3   
5.61.112.0,,5.61.113.255,,E-Search 
5.61.118.0,,5.61.119.255,,E-Search 
5.62.88.0,,5.62.90.95,,Continent 8 
5.62.90.104,,5.62.90.111,,Continent 8 
5.62.90.128,,5.62.90.143,,Continent 8
5.62.90.168,,5.62.91.95,,Continent 8 
5.62.91.120,,5.62.91.255,,Continent 8 
5.83.240.0,,5.83.255.255,,Cogent Communications
5.134.88.0,,5.134.95.255,,Wireless Connect 
5.149.168.0,,5.149.175.255,,Leeson Telecom 
5.150.144.0,,5.150.148.255,,Interfusion Networks 
5.159.40.0,,5.159.47.255,,Business Recovery Services 
5.179.32.0,,5.179.71.255,,Liberty Global 
13.69.128.0,,13.69.255.255,,Microsoft 
13.70.192.0,,13.70.255.255,,Microsoft 
13.74.0.0,,13.74.255.255,,Microsoft 
13.79.0.0,,13.79.255.255,,Microsoft 
13.94.64.0,,13.94.127.255,,Microsoft 
13.106.16.0,,13.106.16.255,,Microsoft 
13.106.124.0,,13.106.124.255,,Microsoft 
17.64.0.0,,17.66.255.255,,Apple 
17.72.3.2,,17.72.3.2,,Apple 
17.72.150.0,,17.72.150.255,,Apple 
17.72.157.0,,17.72.191.255,,Apple 
17.72.245.0,,17.72.245.255,,Apple 
17.79.190.0,,17.79.190.255,,Apple 
17.79.192.0,,17.79.192.255,,Apple 
17.79.194.0,,17.79.194.255,,Apple 
17.79.196.0,,17.79.198.255,,Apple 
17.79.200.0,,17.79.203.255,,Apple 
17.79.205.0,,17.79.205.255,,Apple 
17.79.211.0,,17.79.211.255,,Apple 
17.235.224.0,,17.235.239.255,,Apple 
18.200.0.0,,18.200.255.255,,Amazon
20.190.129.0,,20.190.129.255,,Microsoft 
20.191.0.0,,20.191.63.255,,Microsoft 
23.50.192.0,,23.50.193.255,,TE-AS
23.50.195.0,,23.50.197.255,,TE-AS
23.50.199.0,,23.50.205.255,,TE-AS
